행정시,업소명,소재지,X,Y
서귀포시,제주휴리조트 Ⅱ,제주특별자치도 서귀포시 성산읍 난고로 230,126.893802602696,33.4207256175326
서귀포시,더썸휴양펜션,제주특별자치도 서귀포시 성산읍 난고로42번길 110,126.906566827955,33.4433553956051
서귀포시,쿠지 홀리데이,제주특별자치도 서귀포시 성산읍 난산로 100,126.865290697986,33.4028518811426
서귀포시,맨도롱하우스,제주특별자치도 서귀포시 성산읍 난산로 173,126.85684053696,33.4030966758448
서귀포시,장춘황토마을,제주특별자치도 서귀포시 성산읍 난산온평로 12-129,126.88577354476,33.4139129984273
서귀포시,플레이스,제주특별자치도 서귀포시 성산읍 동류암로 20,126.918168422686,33.4498632234159
서귀포시,더베스트제주성산호텔,제주특별자치도 서귀포시 성산읍 동류암로 26,126.917159645824,33.449661313925
서귀포시,제주룩스호텔,제주특별자치도 서귀포시 성산읍 동류암로 38,126.916281832808,33.449054931667
서귀포시,프린스장,제주특별자치도 서귀포시 성산읍 동류암로36번길 2,126.916872277607,33.4493055260732
서귀포시,성산포스카이호텔,제주특별자치도 서귀포시 성산읍 동류암로36번길 6,126.916678426747,33.4494586699067
서귀포시,동남모텔,제주특별자치도 서귀포시 성산읍 동류암로39번길 13,126.915511698304,33.4478877239969
서귀포시,어라운드폴리,제주특별자치도 서귀포시 성산읍 서성일로 433,126.835927890515,33.415799622412
서귀포시,그린나래,제주특별자치도 서귀포시 성산읍 서성일로 615,126.851016568347,33.4279726047138
서귀포시,고투베드,제주특별자치도 서귀포시 성산읍 서성일로 660,126.855098103821,33.4273192618344
서귀포시,산들애풀하우스,제주특별자치도 서귀포시 성산읍 서성일로 689-8,126.857161403929,33.4297652986454
서귀포시,엔파제주호텔,제주특별자치도 서귀포시 성산읍 서성일로 726-11,126.862086049356,33.4297630280471
서귀포시,탐라리조트,제주특별자치도 서귀포시 성산읍 서성일로 726-31,126.862148709487,33.4285573697018
서귀포시,제주원리조트,제주특별자치도 서귀포시 성산읍 서성일로 726-33,126.862878821749,33.4285598018808
서귀포시,성산호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-35,126.862406251695,33.4281406592659
서귀포시,오라호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-37,126.861992811974,33.4281381262428
서귀포시,고성2119,제주특별자치도 서귀포시 성산읍 서성일로1136번길 14,126.899950565572,33.444108670293
서귀포시,휘닉스제주섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,126.926442688389,33.4260423785235
서귀포시,오션스타휴양콘도미니엄,제주특별자치도 서귀포시 성산읍 섭지코지로 169,126.926346647881,33.4270853095542
서귀포시,호텔엠씨씨,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 29,126.91873457186,33.4418086847759
서귀포시,제주티라호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,126.918441446554,33.4426841383736
서귀포시,해뜨는초록마을휴양펜션,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 8,126.920425704061,33.4395771178821
서귀포시,미도모텔,제주특별자치도 서귀포시 성산읍 성산등용로 1,126.933601286576,33.464149990049
서귀포시,성산비치호텔,제주특별자치도 서귀포시 성산읍 성산등용로 13,126.932907575005,33.4648205040752
서귀포시,코업시티호텔성산,제주특별자치도 서귀포시 성산읍 성산등용로 28,126.931927211246,33.4659868322645
서귀포시,호텔아로하,제주특별자치도 서귀포시 성산읍 성산등용로 40,126.931036628747,33.4664971015783
서귀포시,브리즈 베이 호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42,126.930846574451,33.4665937383545
서귀포시,성산여관,제주특별자치도 서귀포시 성산읍 성산등용로 8,126.933682295464,33.4647057854192
서귀포시,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35,126.931025606842,33.4623487908713
서귀포시,헤라호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 5,126.932638534828,33.4646816005085
서귀포시,금호여관,제주특별자치도 서귀포시 성산읍 성산중앙로 30-11,126.933907349622,33.4622805760595
서귀포시,성산브라보,제주특별자치도 서귀포시 성산읍 성산중앙로 43,126.93351320019,33.4637073427698
서귀포시,휴안스테이호텔,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9,126.932375119592,33.4636724660346
서귀포시,성산녘,제주특별자치도 서귀포시 성산읍 성산중앙로40번길 12,126.934445438415,33.4629627491132
서귀포시,펠리스타운,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,126.908101189022,33.4744560444113
서귀포시,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11,126.91569810472,33.4378612002342
서귀포시,썬라이즈호텔섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83,126.918304277437,33.4366541515672
서귀포시,건축학개론,제주특별자치도 서귀포시 성산읍 신풍하동로 224-33,126.859836496594,33.3586019593906
서귀포시,동그리랑네몽,제주특별자치도 서귀포시 성산읍 신풍하동로 224-33,126.859836496594,33.3586019593906
서귀포시,제주빌레성통나무휴양펜션,제주특별자치도 서귀포시 성산읍 온평포구로 42,126.899214543867,33.4013680015065
서귀포시,나무향가득펜션,제주특별자치도 서귀포시 성산읍 온평포구로54번길 14,126.900450424171,33.4015444540551
서귀포시,제주올레돔,제주특별자치도 서귀포시 성산읍 온평포구로54번길 54,126.898968439193,33.3983453960295
서귀포시,코델리아S호텔,제주특별자치도 서귀포시 성산읍 일주동로 4186,126.91027494493,33.4549278817683
서귀포시,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,126.911996216605,33.448348346602
서귀포시,(주)라사니아캐슬리조트,제주특별자치도 서귀포시 성산읍 일주동로 5199,126.872225875238,33.3731420970998
