,EMD_KOR_NM,사업장명,도로명전체주소,X,Y,geometry
69,조천읍,한사랑약국,제주특별자치도 제주시 조천읍 신북로 217,126.636033867269,33.5357738080624,POINT (126.636033867269 33.5357738080624)
70,일도이동,수약국,"제주특별자치도 제주시 동광로 124, 1층 (일도이동)",126.540293885402,33.5069867270985,POINT (126.540293885402 33.5069867270985)
71,구좌읍,메디팜감초당약국,제주특별자치도 제주시 구좌읍 구좌로 42,126.855869740474,33.5232786326305,POINT (126.855869740474 33.5232786326305)
72,아라이동,오케이약국,"제주특별자치도 제주시 승천로 74, 1층 (아라이동)",126.542579496739,33.4921926501796,POINT (126.542579496739 33.4921926501796)
73,연동,자연약국,"제주특별자치도 제주시 노연로 90, 1층 (연동)",126.489715841975,33.4857262153656,POINT (126.489715841975 33.4857262153656)
74,이도일동,정민당약국,제주특별자치도 제주시 중앙로 127 (이도일동),126.524800210254,33.5073114444632,POINT (126.524800210254 33.5073114444632)
75,화북일동,화북약국,"제주특별자치도 제주시 일주동로 199 (화북일동,2층)",126.566846605617,33.5190229158855,POINT (126.566846605617 33.5190229158855)
76,한경면,차귀도 약국,제주특별자치도 제주시 한경면 고산로 8,126.179829663884,33.3016564504699,POINT (126.179829663884 33.3016564504699)
77,구좌읍,제일약국,제주특별자치도 제주시 구좌읍 구좌로 47,126.856614176205,33.5233019464664,POINT (126.856614176205 33.5233019464664)
78,이도일동,동보약국,제주특별자치도 제주시 오현길 78 (이도일동),126.525549123259,33.5117368883857,POINT (126.525549123259 33.5117368883857)
79,성산읍,제일약국,제주특별자치도 서귀포시 성산읍 동류암로36번길  23,126.915076362584,33.4496175289055,POINT (126.915076362584 33.4496175289055)
80,아라일동,다정약국,"제주특별자치도 제주시 아란7길 18, 1층 101호 (아라일동)",126.543512177609,33.4745816172885,POINT (126.543512177609 33.4745816172885)
81,노형동,연동팜약국,"제주특별자치도 제주시 연북로 38, 1층 (노형동)",126.485403352408,33.4816497749802,POINT (126.485403352408 33.4816497749802)
82,삼도일동,새우리약국,제주특별자치도 제주시 서사로 36 (삼도일동),126.519651446053,33.509244975192,POINT (126.519651446053 33.509244975192)
83,대정읍,건강약국,제주특별자치도 서귀포시 대정읍 하모상가로 51-1,126.254101053428,33.2221554085645,POINT (126.254101053428 33.2221554085645)
84,아라일동,건강일등약국,"제주특별자치도 제주시 중앙로 616, 1층 (아라일동)",126.547021236972,33.4687713436155,POINT (126.547021236972 33.4687713436155)
85,노형동,한라약국,"제주특별자치도 제주시 월랑로 33, 1층 (노형동, 한라빌딩)",126.47608257237,33.4885609141354,POINT (126.47608257237 33.4885609141354)
86,도련일동,삼화사랑약국,"제주특별자치도 제주시 건주로 43, 1층 (도련일동)",126.580987069057,33.515618997731,POINT (126.580987069057 33.515618997731)
87,화북일동,바로약국,"제주특별자치도 제주시 일주동로 197, 1층 (화북일동)",126.566579766919,33.518980148661,POINT (126.566579766919 33.518980148661)
88,조천읍,조천약국,제주특별자치도 제주시 조천읍 신북로 226,126.637179387123,33.5360014855524,POINT (126.637179387123 33.5360014855524)
89,외도일동,바다약국,"제주특별자치도 제주시 절물1길 39, 1층 (외도일동)",126.431700812432,33.4893883655753,POINT (126.431700812432 33.4893883655753)
90,서귀동,동산프라자약국,제주특별자치도 서귀포시 중앙로 86 (서귀동),126.561317325862,33.252272884907,POINT (126.561317325862 33.252272884907)
91,추자면,추자약국,제주특별자치도 제주시 추자면 추자로 20,126.296964800114,33.9637380321474,POINT (126.296964800114 33.9637380321474)
92,이도일동,인수당건재약국,제주특별자치도 제주시 관덕로 54-2 (이도일동),126.525174274985,33.5129538615179,POINT (126.525174274985 33.5129538615179)
93,조천읍,신한당약국,제주특별자치도 제주시 조천읍 신북로 530,126.666361762931,33.5415018463703,POINT (126.666361762931 33.5415018463703)
94,일도일동,보림약국,제주특별자치도 제주시 동문로 35 (일도일동),126.530409934429,33.5131036478419,POINT (126.530409934429 33.5131036478419)
95,연동,새한온누리약국,"제주특별자치도 제주시 신대로 128 (연동,신대로128)",126.496059583157,33.4858517995196,POINT (126.496059583157 33.4858517995196)
96,한림읍,은솔약국,제주특별자치도 제주시 한림읍 한림중앙로 46,126.265107178745,33.4105960192047,POINT (126.265107178745 33.4105960192047)
97,연동,동인한약국,"제주특별자치도 제주시 신광로 105, 1층 (연동, 연동하늘그린)",126.490067205745,33.4826131098595,POINT (126.490067205745 33.4826131098595)
98,이도이동,베스트약국,제주특별자치도 제주시 중앙로 354 (이도이동),126.537715735683,33.4900853370456,POINT (126.537715735683 33.4900853370456)
99,노형동,싱싱약국,제주특별자치도 제주시 노형로 386 (노형동),126.4769251227,33.4841515431711,POINT (126.4769251227 33.4841515431711)
100,한림읍,녹십자약국,제주특별자치도 제주시 한림읍 한림중앙로 4,126.264581121556,33.4144663931644,POINT (126.264581121556 33.4144663931644)
101,조천읍,함덕하나로약국,제주특별자치도 제주시 조천읍 함와로 40,126.674912222026,33.5365660075389,POINT (126.674912222026 33.5365660075389)
102,연동,보건약국,"제주특별자치도 제주시 연동3길 37, 1층 (연동)",126.488105206806,33.4865880768705,POINT (126.488105206806 33.4865880768705)
103,화북일동,그린약국,"제주특별자치도 제주시 동화로 30, 1층 (화북일동)",126.5727900733,33.5176052471037,POINT (126.5727900733 33.5176052471037)
104,용담이동,예약국,"제주특별자치도 제주시 서광로 83, 1층 (용담이동, 예나빌딩)",126.504956663437,33.5006079534785,POINT (126.504956663437 33.5006079534785)
105,일도이동,메디칼약국,"제주특별자치도 제주시 고마로 149 (일도이동, 회광빌딩)",126.543570318192,33.5015046264362,POINT (126.543570318192 33.5015046264362)
106,이도이동,센타약국,"제주특별자치도 제주시 중앙로 266, 1층 102호 (이도이동, 영도 갤럭시타운)",126.531799909918,33.4961300404314,POINT (126.531799909918 33.4961300404314)
107,화북일동,비타민약국,"제주특별자치도 제주시 일주동로 250, 1층 (화북일동)",126.571981190343,33.5197231790278,POINT (126.571981190343 33.5197231790278)
108,도련일동,진영약국,"제주특별자치도 제주시 건주로4길 6-8, SH 빌딩 103호 (도련일동)",126.58029352618,33.5167666311552,POINT (126.58029352618 33.5167666311552)
109,이도이동,청사약국,"제주특별자치도 제주시 중앙로 234, 1층 (이도이동)",126.530145502453,33.498840457724,POINT (126.530145502453 33.498840457724)
110,일도이동,명원약국,"제주특별자치도 제주시 동광로 100 (일도이동,1층)",126.538443642564,33.5055019582814,POINT (126.538443642564 33.5055019582814)
111,건입동,동의당온누리약국,제주특별자치도 제주시 만덕로 21 (건입동),126.532171968381,33.5147231699557,POINT (126.532171968381 33.5147231699557)
112,이도이동,남광약국,제주특별자치도 제주시 남광로2길 43 (이도이동),126.540041851833,33.4892589358421,POINT (126.540041851833 33.4892589358421)
113,연동,광주약국,제주특별자치도 제주시 국기로 7 (연동),126.490041814131,33.4811441301246,POINT (126.490041814131 33.4811441301246)
114,노형동,생생약국,제주특별자치도 제주시 원노형남1길 1 (노형동),126.480730767311,33.484006612815,POINT (126.480730767311 33.484006612815)
115,삼도일동,해약국,제주특별자치도 제주시 서광로 263 (삼도일동),126.524595836648,33.5002241500889,POINT (126.524595836648 33.5002241500889)
116,일도이동,고승아약국,제주특별자치도 제주시 동광로 131 (일도이동),126.540471800294,33.5079413615319,POINT (126.540471800294 33.5079413615319)
117,이도이동,백세약국,제주특별자치도 제주시 서광로 300-1 (이도이동),126.528633948144,33.500391586513,POINT (126.528633948144 33.500391586513)
118,용담이동,우주약국,"제주특별자치도 제주시 용담로 92 (용담이동,1층)",126.512347253755,33.5119148080676,POINT (126.512347253755 33.5119148080676)
119,노형동,미소약국,"제주특별자치도 제주시 월랑로8길 1 (노형동,아란야플라자 1층 105호)",126.476679743326,33.4888313001214,POINT (126.476679743326 33.4888313001214)
120,화북일동,365매일약국,제주특별자치도 제주시 일주동로 227 (화북일동),126.569766497722,33.5194197845023,POINT (126.569766497722 33.5194197845023)
121,일도이동,소망약국,"제주특별자치도 제주시 동문로 76, 1층 (일도이동)",126.534809712342,33.5135012600925,POINT (126.534809712342 33.5135012600925)
122,노형동,그린온누리약국,제주특별자치도 제주시 노형12길 27 (노형동),126.480475567709,33.4823639241295,POINT (126.480475567709 33.4823639241295)
123,노형동,예은온누리약국,"제주특별자치도 제주시 노형8길 8, 1층 (노형동)",126.477847039423,33.4840011684389,POINT (126.477847039423 33.4840011684389)
124,연동,제주약국,"제주특별자치도 제주시 성신로 13-8 (연동,이화아파트상가 102호, 103호)",126.484844218554,33.490914736412,POINT (126.484844218554 33.490914736412)
125,용담일동,온누리대우약국,제주특별자치도 제주시 서광로 171 (용담일동),126.514721990879,33.5002496144059,POINT (126.514721990879 33.5002496144059)
126,일도이동,강약국,제주특별자치도 제주시 고마로 147 (일도이동),126.543469074284,33.5016641058548,POINT (126.543469074284 33.5016641058548)
127,삼양이동,대원온누리약국,"제주특별자치도 제주시 화삼북로 139, 1층 (삼양이동)",126.587988242861,33.5172612012089,POINT (126.587988242861 33.5172612012089)
128,노형동,굿모닝약국,"제주특별자치도 제주시 연북로 40 (노형동,1층)",126.485625199268,33.4816329345296,POINT (126.485625199268 33.4816329345296)
129,애월읍,아라약국,제주특별자치도 제주시 애월읍 애월로 120,126.319970894671,33.4643785619656,POINT (126.319970894671 33.4643785619656)
130,화북일동,월마트약국,"제주특별자치도 제주시 일주동로 229, 1층 B호 (화북일동, 동인빌딩)",126.569947757174,33.5194425930885,POINT (126.569947757174 33.5194425930885)
131,용담일동,보은약국,제주특별자치도 제주시  서광로  175 (용담일동),126.515202972713,33.5003180347391,POINT (126.515202972713 33.5003180347391)
132,이도이동,주원약국,제주특별자치도 제주시 중앙로 318 (이도이동),126.535272367644,33.4926491670383,POINT (126.535272367644 33.4926491670383)
133,오라삼동,맘꽃약국,"제주특별자치도 제주시 연오로 59, 이룸프라자 101호 (오라삼동)",126.502057860304,33.4879308657759,POINT (126.502057860304 33.4879308657759)
134,한림읍,세창약국,제주특별자치도 제주시 한림읍 한림중앙로 1,126.264869014765,33.4145826010875,POINT (126.264869014765 33.4145826010875)
