학교,자치구,남녀공학구분,주소,X,Y
제주중학교,제주시,남,제주특별자치도 제주시 서문로 47,126.51660188314,33.51229725808
가파초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 대정읍 가파로67번길 45,126.2698834228,33.1691668334913
강정초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 말질로 188,126.478665741497,33.2350089674924
대정서초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 대정읍 동일하모로 43,126.239559089564,33.2320782454411
대정초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 대정읍 상모대서로 15,126.255687666824,33.2255924861489
도순초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 도순남로 83,126.477226958113,33.2475799038794
동남초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 고성오조로 55,126.914052457992,33.4493879043062
무릉초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 대정읍 서삼중로 106,126.2014268777,33.2728251872828
법환초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 이어도로 879,126.508833357942,33.2377394343897
보목초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 마소물로8번길 9,126.599617502611,33.2450427875401
보성초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1,126.27584491244,33.2499380778188
사계초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 안덕면 산방로 346,126.300133363029,33.233736808484
서광초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 안덕면 중산간서로 1842,126.326377686537,33.2883922956031
서귀북초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 중앙로 175,126.558196602368,33.2602308863977
서귀서초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 솜반천로 38,126.556025784451,33.2543212724505
서귀중앙초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 중동로8번길 8,126.564802396481,33.253561296467
서귀포초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 솔동산로11번길 17,126.566540815831,33.2445048087613
서호초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 호근남로 40,126.528513295999,33.2537849708132
성산초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 한도로 217,126.931864034662,33.4683628977731
성읍초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 표선면 성읍민속로 65,126.798509288464,33.3842748219806
수산초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 수시로 9,126.884895528995,33.447134942927
시흥초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 시흥상동로 113,126.894918804916,33.4797234881872
신례초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 남원읍 중산간동로 7116,126.631712260104,33.2846883166056
신산초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 일주동로 5104,126.875568377203,33.3816213649764
안덕초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 안덕면 화순로56번길 32,126.336772941238,33.2502657603049
예래초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 예래로 210-14,126.391555475844,33.2457473336679
온평초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 성산읍 일주동로 4740,126.897215836942,33.4084465854216
위미초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 남원읍 태위로 57,126.65282708651,33.274106334124
의귀초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 남원읍 한신로 213,126.714628023328,33.3111189463249
중문초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 천제연로 231,126.430159576032,33.2530234460838
창천초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 안덕면 창천중앙로 13,126.368612457374,33.2636742656445
태흥초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 남원읍 태위로 915,126.743413733812,33.2862254142126
토산초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,126.777267640057,33.312575570921
토평초등학교병설유치원,서귀포시,남여공학,제주특별자치도 서귀포시 토평남로 86,126.589762688831,33.2663043947848
