사업장명,도로명주소,X,Y
씨유 제주사대부점,제주특별자치도 제주시 용담로 68 (용담이동),126.50993647789,33.5125218017916
씨유 제주관덕점,제주특별자치도 제주시 관덕로6길 7 (삼도이동),126.522190539318,33.5123444544903
(주)코리아세븐 제주문예회관점,제주특별자치도 제주시 동광로 82 (이도이동),126.537054437924,33.5043536465131
GS25 노형신비점,제주특별자치도 제주시 한라대학로 99 (노형동),126.480696962726,33.4765267681661
세븐일레븐제주용담현대점,제주특별자치도 제주시 용담로 50-1 (용담이동),126.508134033965,33.5127614234084
씨유제주아라중앙점,제주특별자치도 제주시 인다10길 25 (아라일동),126.548437256659,33.474601821427
세븐일레븐 제주연동SJ점,제주특별자치도 제주시 삼무로 16 (연동),126.488441682819,33.4897330469689
씨유 제주동문로터리점,제주특별자치도 제주시 동문로 8 (일도일동),126.527376256927,33.512902326226
GS25 한림옹포점,제주특별자치도 제주시 한림읍 한림로 494,126.252239232847,33.4032560298507
GS25용담열린점,제주특별자치도 제주시 용남1길 1 (용담일동),126.515382522394,33.5079563859009
GS25용담점,제주특별자치도 제주시 용담로 111-5 (용담일동),126.514021138857,33.5111782954221
GS25제주도청점,제주특별자치도 제주시 신대로 63 (연동),126.497011042167,33.4916072831053
세븐일레븐제주아라센터점,제주특별자치도 제주시 아란8길 16 (아라일동),126.544086356727,33.4735946787318
씨유제주구남중앙점,제주특별자치도 제주시 구남동2길 27 (이도이동),126.53526224296,33.4890654730246
GS25외도중앙점,제주특별자치도 제주시 우정로8길 20 (외도일동),126.428890922655,33.489386807768
세븐일레븐 제주노형이레점,"제주특별자치도 제주시 연북로 12, 103호 (노형동, 이레하이텔)",126.482483734906,33.4817037950085
씨유 제주화북진남점,제주특별자치도 제주시 진남로 22 (화북일동),126.562804852843,33.5227286812607
씨유제주유블레스호텔점,"제주특별자치도 제주시 조천읍 조함해안로 502, 유탑유블레스호텔",126.666209171617,33.5424051010993
씨유제주송당마을점,제주특별자치도 제주시 구좌읍 중산간동로 2281-2,126.786530316549,33.471376887278
씨유제주함덕길점,제주특별자치도 제주시 조천읍 함덕12길 46-1,126.664963967513,33.5380012456036
