ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 중구|서울특별시 중구청|이혼|201501|27|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|출생|201501|105|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|혼인|201501|168|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|개명|201501|71|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|사망|201501|182|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|이혼|201501|55|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|출생|201501|326|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|혼인|201501|252|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|개명|201502|174|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|사망|201502|139|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|이혼|201502|54|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|출생|201502|381|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|혼인|201502|379|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|개명|201502|60|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|사망|201502|144|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|이혼|201502|51|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|출생|201502|299|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|혼인|201502|203|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|개명|201502|55|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|사망|201502|135|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|이혼|201502|38|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|출생|201502|147|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|혼인|201502|122|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|개명|201502|69|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|사망|201502|213|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|이혼|201502|71|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|출생|201502|468|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|혼인|201502|282|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|개명|201502|79|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|사망|201502|151|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|이혼|201502|33|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|출생|201502|347|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|혼인|201502|236|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|개명|201502|53|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|사망|201502|109|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|이혼|201502|54|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|출생|201502|218|2017-11-21 16:58:47
