,행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
132,방배3동,1122064,3398,137,143,291002769.5,-0.242982419,-1.104894572,-0.891891973,0.075747547,47.57017581,38.95105428,41.08108027,50.75747547,46.84434243
133,방배4동,1122065,3559,335,225,296587905.9,-0.137418326,-0.825724431,-0.533518337,0.105978731,48.62581674,41.74275569,44.66481663,51.05978731,48.14314133
134,방배본동,1122061,3093,361,190,138923872.3,-0.442964086,-0.789065726,-0.686482694,-0.747423983,45.57035914,42.10934274,43.13517306,42.52576017,43.13798352
135,방이1동,1124057,2246,328,151,117280269.9,-0.998323009,-0.835594083,-0.856928692,-0.864576314,40.01676991,41.64405917,41.43071308,41.35423686,41.1470219
136,방이2동,1124058,3544,905,272,147548038.7,-0.14725349,-0.022052813,-0.328109058,-0.700743159,48.5274651,49.77947187,46.71890942,42.99256841,45.75304848
137,방학1동,1110055,5868,1868,538,260479885.7,1.376541241,1.335729237,0.834420053,-0.089466493,63.76541241,63.35729237,58.34420053,49.10533507,55.68630125
138,방학2동,1110056,4405,2454,453,213941529.2,0.417284919,2.161960059,0.462935187,-0.341368965,54.17284919,71.61960059,54.62935187,46.58631035,53.4898241
139,방학3동,1110057,5080,408,372,337771527.8,0.859867296,-0.722798066,0.108931961,0.328897135,58.59867296,42.77201934,51.08931961,53.28897135,52.23548861
140,방화1동,1116070,6616,1210,642,190292761.2,1.866988083,0.407982001,1.288942713,-0.469374841,68.66988083,54.07982001,62.88942713,45.30625159,53.71224885
141,방화2동,1116071,4857,1698,690,418308792.8,0.713651192,1.096037702,1.498722403,0.764828648,57.13651192,60.96037702,64.98722403,57.64828648,59.04291461
142,방화3동,1116072,5260,2276,944,211511859,0.977889263,1.910988922,2.608806592,-0.354520266,59.77889263,69.10988922,76.08806592,46.45479734,56.78841605
143,번1동,1109060,3657,1223,331,274878165.7,-0.073161922,0.426311353,-0.070254857,-0.01153159,49.26838078,54.26311353,49.29745143,49.8846841,50.4542445
144,번2동,1109061,4001,1886,558,101362681.8,0.152391171,1.361108341,0.921828257,-0.950734917,51.52391171,63.61108341,59.21828257,40.49265083,49.08533267
145,번3동,1109062,4669,2857,1002,344033237.2,0.590383804,2.730169992,2.862290383,0.36279047,55.90383804,77.30169992,78.62290383,53.6279047,61.35038042
146,보광동,1103070,2708,1086,184,135401523.9,-0.69539996,0.233148175,-0.712705155,-0.766489725,43.0460004,52.33148175,42.87294845,42.33510275,44.29387932
