,EMD_CD,EMD_KOR_NM,SIG_KOR_NM,약국명,경도,위도,geometry
510,11560133,대림동,영등포구,누가약국,126.900742674,37.4903812913,POINT (947024.5540886982 1943627.8128495957)
511,11680106,대치동,강남구,누네조은약국,127.050387028274,37.5044682122431,POINT (960260.9377867451 1945116.9665684805)
512,11350102,월계동,노원구,누리약국,127.051276377642,37.6256184658306,POINT (960403.7212367656 1958557.5758886407)
513,11680101,역삼동,강남구,누리약국,127.0447490022362,37.50285200641426,POINT (959761.7504840518 1944940.054570934)
514,11215105,자양동,광진구,누리온누리약국,127.0825451069,37.5358227654,POINT (963118.6809650412 1948582.4655444983)
515,11560133,대림동,영등포구,뉴그랜드약국,126.89819732726036,37.499580197056375,POINT (946806.0636880335 1944649.813081671)
516,11290104,동소문동1가,성북구,뉴나바론약국,127.006618413108,37.5891024881788,POINT (956441.6985927591 1954526.063939124)
517,11290139,석관동,성북구,뉴대원약국,127.0569046353,37.6104042358,POINT (960892.4045334088 1956867.262423564)
518,11320105,쌍문동,도봉구,뉴메디슨약국,127.0281914462,37.6573739581,POINT (958384.3671646647 1962090.7199194434)
519,11440126,중동,마포구,3층온누리약국,126.90383008038548,37.57015091871719,POINT (947353.5878547854 1952476.1033039412)
520,11230104,전농동,동대문구,뉴메디칼약국,127.05726938924956,37.57798638162113,POINT (960907.6430009869 1953270.5029011706)
521,11350102,월계동,노원구,뉴석계프라자약국,127.06482661745385,37.615306475969184,POINT (961594.1233793838 1957407.8738277443)
522,11560132,신길동,영등포구,뉴성모제일약국,126.926676485586,37.5138160173395,POINT (949333.0099039713 1946213.4795071613)
523,11710106,삼전동,송파구,뉴시티약국,127.09479570930957,37.50672559423754,POINT (964187.0974144819 1945349.581756964)
524,11680101,역삼동,강남구,뉴욕약국,127.02875288900574,37.498681739982686,POINT (958345.577919073 1944484.3496058516)
525,11740101,명일동,강동구,뉴욕온누리약국,127.143698245033,37.5474482522073,POINT (968526.3475216688 1949850.016590458)
526,11260101,면목동,중랑구,뉴월드약국,127.09035289164449,37.58973814881308,POINT (963834.5588237981 1954561.0505389937)
527,11320107,창동,도봉구,뉴지명약국,127.03854760591967,37.63872869291572,POINT (959287.6555048623 1960017.5505627801)
528,11350105,상계동,노원구,뉴크로바약국,127.05305861870907,37.68710853495802,POINT (960593.5025270263 1965378.9304791111)
