사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일시
GS25 노형신비점,안전상비의약품 판매업소,20121112,,영업/정상,,,,,,제주특별자치도 제주시 노형동 762번지 8호,제주특별자치도 제주시 한라대학로 99 (노형동),63089,2018-08-31 23:59:59.0
세븐일레븐제주용담현대점,안전상비의약품 판매업소,20160422,,영업/정상,,,,,,,제주특별자치도 제주시 용담로 50-1 (용담이동),63157,2018-08-31 23:59:59.0
씨유제주아라중앙점,안전상비의약품 판매업소,20160428,,영업/정상,,,,,,,제주특별자치도 제주시 인다10길 25 (아라일동),63247,2018-08-31 23:59:59.0
세븐일레븐 제주연동SJ점,안전상비의약품 판매업소,20141120,,영업/정상,,,,,,제주특별자치도 제주시 연동 261번지 24호,제주특별자치도 제주시 삼무로 16 (연동),63129,2018-08-31 23:59:59.0
씨유 제주동문로터리점,안전상비의약품 판매업소,20121112,,영업/정상,,,,,,제주특별자치도 제주시 일도일동 1145번지 16호,제주특별자치도 제주시 동문로 8 (일도일동),63264,2018-08-31 23:59:59.0
GS25 한림옹포점,안전상비의약품 판매업소,20180628,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 한림로 494,63012,2018-08-31 23:59:59.0
GS25용담열린점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,제주특별자치도 제주시 용담일동 237번지 1호,제주특별자치도 제주시 용남1길 1 (용담일동),63174,2018-08-31 23:59:59.0
GS25용담점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,제주특별자치도 제주시 용담일동 310번지 4호,제주특별자치도 제주시 용담로 111-5 (용담일동),63153,2018-08-31 23:59:59.0
GS25제주도청점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,제주특별자치도 제주시 연동 301번지 10호,제주특별자치도 제주시 신대로 63 (연동),63119,2018-08-31 23:59:59.0
세븐일레븐제주아라센터점,안전상비의약품 판매업소,20160223,,영업/정상,,,,,,,제주특별자치도 제주시 아란8길 16 (아라일동),63237,2018-08-31 23:59:59.0
씨유제주구남중앙점,안전상비의약품 판매업소,20160224,,영업/정상,,,,,,,제주특별자치도 제주시 구남동2길 27 (이도이동),63232,2019-10-12 02:40:00.0
GS25외도중앙점,안전상비의약품 판매업소,20160225,,영업/정상,,,,,,,제주특별자치도 제주시 우정로8길 20 (외도일동),63069,2019-10-12 02:40:00.0
세븐일레븐 제주노형이레점,안전상비의약품 판매업소,20170804,,영업/정상,,,,,,제주특별자치도 제주시 노형동 711번지 2호,"제주특별자치도 제주시 연북로 12, 103호 (노형동, 이레하이텔)",63086,2018-08-31 23:59:59.0
