"동별(1)",동별(2),동별(3),2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",성북구,소계,447687,24.57,18218,454744,24.57,18505,447056,24.58,18190,440142,24.58,17909
"합계",성북구,돈암1동,16404,0.49,33478,15921,0.49,32492,15379,0.49,31386,-,-,-
"합계",성북구,돈암2동,25273,0.48,52652,25028,0.48,52142,24686,0.48,51429,-,-,-
"합계",성북구,안암동,17260,1.33,12977,17502,1.33,13159,16580,1.33,12466,-,-,-
"합계",성북구,보문동,17067,0.56,30477,16653,0.56,29738,16123,0.56,28791,-,-,-
"합계",성북구,정릉1동,18642,0.44,42368,19455,0.44,44216,18929,0.44,43020,-,-,-
"합계",성북구,정릉2동,24267,1.17,20741,23834,1.17,20371,23736,1.17,20287,-,-,-
"합계",성북구,정릉3동,17294,3.71,4661,17233,3.71,4645,16847,3.71,4541,-,-,-
"합계",성북구,정릉4동,27161,3.13,8678,26792,3.13,8560,25993,3.13,8304,-,-,-
"합계",성북구,길음1동,37829,0.79,47885,37082,0.79,46939,36568,0.79,46289,-,-,-
"합계",성북구,길음2동,11767,0.58,20288,16620,0.58,28655,17167,0.58,29598,-,-,-
"합계",성북구,월곡1동,27854,0.81,34388,27523,0.81,33979,27108,0.81,33467,-,-,-
"합계",성북구,월곡2동,20702,1.36,15222,20509,1.36,15080,20396,1.36,14997,-,-,-
"합계",성북구,장위1동,21228,0.70,30326,20592,0.70,29417,20449,0.70,29213,-,-,-
"합계",성북구,장위2동,15069,0.67,22491,13972,0.67,20854,14106,0.67,21054,-,-,-
"합계",성북구,장위3동,11689,0.65,17983,17580,0.65,27046,17359,0.65,26706,-,-,-
"합계",성북구,성북동,17902,2.86,6259,17584,2.86,6148,17404,2.86,6085,-,-,-
"합계",성북구,삼선동,26971,0.92,29316,26013,0.92,28275,24144,0.92,26243,-,-,-
"합계",성북구,동선동,16386,0.73,22447,16276,0.73,22296,16246,0.73,22255,-,-,-
